# phi,psi,free_energy_kJ_per_mol
2.181661564992912083e+00,-1.832595714594046132e+00,6.989351365616391831e+01
2.356194490192344837e+00,-1.832595714594046132e+00,7.098099347546940407e+01
2.530727415391777591e+00,-1.832595714594046132e+00,6.835694595087865366e+01
2.705260340591210344e+00,-1.832595714594046132e+00,6.203735892319613754e+01
2.879793265790643542e+00,-1.832595714594046132e+00,5.293845707534789824e+01
3.054326190990076739e+00,-1.832595714594046132e+00,4.357647459687483149e+01
-3.054326190990076739e+00,-1.658062789394612935e+00,3.384123141883007690e+01
-2.879793265790643986e+00,-1.658062789394612935e+00,2.724261663594239735e+01
-2.705260340591210788e+00,-1.658062789394612935e+00,2.298128040555062057e+01
-2.530727415391777591e+00,-1.658062789394612935e+00,2.077018292899717267e+01
-2.356194490192344837e+00,-1.658062789394612935e+00,2.010151752268217962e+01
-2.181661564992912083e+00,-1.658062789394612935e+00,2.039600004311228076e+01
-2.007128639793479330e+00,-1.658062789394612935e+00,2.062171516060062260e+01
-1.832595714594046132e+00,-1.658062789394612935e+00,2.049087874195617331e+01
-1.658062789394612935e+00,-1.658062789394612935e+00,2.043744492013465575e+01
-1.483529864195180181e+00,-1.658062789394612935e+00,2.053918555954078684e+01
-1.308996938995746984e+00,-1.658062789394612935e+00,2.137358054062277546e+01
-1.134464013796314230e+00,-1.658062789394612935e+00,2.352808923983123179e+01
-9.599310885968812546e-01,-1.658062789394612935e+00,2.692934406111470125e+01
-7.853981633974482790e-01,-1.658062789394612935e+00,3.056459301952384777e+01
-6.108652381980153034e-01,-1.658062789394612935e+00,3.347605093072695581e+01
-4.363323129985823279e-01,-1.658062789394612935e+00,3.542800616891172183e+01
-2.617993877991495744e-01,-1.658062789394612935e+00,3.561570353152580282e+01
-8.726646259971659880e-02,-1.658062789394612935e+00,3.482492793659726260e+01
8.726646259971637676e-02,-1.658062789394612935e+00,3.222663985343534421e+01
2.617993877991493523e-01,-1.658062789394612935e+00,2.947890321724466745e+01
4.363323129985823279e-01,-1.658062789394612935e+00,2.581645372450503828e+01
6.108652381980153034e-01,-1.658062789394612935e+00,2.215465418982400791e+01
7.853981633974482790e-01,-1.658062789394612935e+00,1.957531166024432423e+01
9.599310885968810325e-01,-1.658062789394612935e+00,1.877243185262638647e+01
1.134464013796313786e+00,-1.658062789394612935e+00,2.080526645569661781e+01
1.308996938995746984e+00,-1.658062789394612935e+00,2.631280693895624978e+01
1.483529864195180181e+00,-1.658062789394612935e+00,3.456881948729001408e+01
1.658062789394612935e+00,-1.658062789394612935e+00,4.463666103929678286e+01
1.832595714594045688e+00,-1.658062789394612935e+00,5.463906652830924315e+01
2.007128639793478886e+00,-1.658062789394612935e+00,6.348023963509973555e+01
2.181661564992912083e+00,-1.658062789394612935e+00,6.919375171825411996e+01
2.356194490192344837e+00,-1.658062789394612935e+00,7.013967710557152202e+01
2.530727415391777591e+00,-1.658062789394612935e+00,6.705753365674760857e+01
2.705260340591210344e+00,-1.658062789394612935e+00,6.052467176085744427e+01
2.879793265790643542e+00,-1.658062789394612935e+00,5.150202534793552900e+01
3.054326190990076739e+00,-1.658062789394612935e+00,4.224679329214774270e+01
-3.054326190990076739e+00,-1.483529864195180181e+00,3.147004655104976578e+01
-2.879793265790643986e+00,-1.483529864195180181e+00,2.511170749426699444e+01
-2.705260340591210788e+00,-1.483529864195180181e+00,2.091059808284238386e+01
-2.530727415391777591e+00,-1.483529864195180181e+00,1.889515949926407501e+01
-2.356194490192344837e+00,-1.483529864195180181e+00,1.846469263397654359e+01
-2.181661564992912083e+00,-1.483529864195180181e+00,1.876177390051945082e+01
-2.007128639793479330e+00,-1.483529864195180181e+00,1.905886008323104974e+01
-1.832595714594046132e+00,-1.483529864195180181e+00,1.866542910594072424e+01
-1.658062789394612935e+00,-1.483529864195180181e+00,1.835535695427608260e+01
-1.483529864195180181e+00,-1.483529864195180181e+00,1.815620397716303458e+01
-1.308996938995746984e+00,-1.483529864195180181e+00,1.832435820198718091e+01
-1.134464013796314230e+00,-1.483529864195180181e+00,1.969817103283878623e+01
-9.599310885968812546e-01,-1.483529864195180181e+00,2.253250012992121754e+01
-7.853981633974482790e-01,-1.483529864195180181e+00,2.527726009574083577e+01
-6.108652381980153034e-01,-1.483529864195180181e+00,2.802388022758668740e+01
