analysis,index,fraction,window_index,window_center_nm,raw_segment_frames,ar1_tau_frames,thinning_stride,thinned_frames,histogrammed_frames
cumulative,5,1.0,15,3.55,380001,7.277551709219022,8,47501,47501
cumulative,5,1.0,16,3.7,380001,7.341869323006489,8,47501,47501
cumulative,5,1.0,17,3.85,380001,7.333262218460906,8,47501,47501
cumulative,5,1.0,18,4.0,380001,7.370541619077976,8,47501,47501
cumulative,5,1.0,19,4.2,380001,7.363571938089141,8,47501,47501
cumulative,5,1.0,20,4.4,380001,7.355376142057566,8,47501,47501
cumulative,5,1.0,21,4.6,380001,7.355650663662701,8,47501,47501
cumulative,5,1.0,22,4.8,380001,7.353183556895265,8,47501,47501
cumulative,5,1.0,23,5.0,380001,7.350832072758651,8,47501,47501
cumulative,5,1.0,24,5.2,380001,7.352269970048382,8,47501,46806
cumulative,5,1.0,25,5.4,380001,7.34802650804417,8,47501,30432
